MoleculeGroup	PrecursorName	PrecursorFormula	PrecursorAdduct	PrecursorMz	PrecursorCharge	ProductName	ProductFormula	ProductAdduct	ProductMz	ProductCharge	Note
5-HpETE	5-HpETE	C20H32O4	[M-H]1-	335.222783184909	-1	precursor	C20H32O4	[M-H]1-	335.222783184909	-1	replicate of 5,12-DiHETE [M-H]1- precursor
5-OxoETE	5-OxoETE{d7}	C20H23H'7O3	[M-H]1-	324.256155692909	-1	280.2662		[M-H]1-	280.2662	-1	
5-OxoETE	5-OxoETE{d7}	C20H23H'7O3	[M-H]1-	324.256155692909	-1	252.2350		[M-H]1-	252.2350	-1	
5-OxoETE	5-OxoETE{d7}	C20H23H'7O3	[M-H]1-	324.256155692909	-1	210.2245		[M-H]1-	210.2245	-1	
5-OxoETE	5-OxoETE{d7}	C20H23H'7O3	[M-H]1-	324.256155692909	-1	167.1745		[M-H]1-	167.1745	-1	
5-OxoETE	5-OxoETE{d7}	C20H23H'7O3	[M-H]1-	324.256155692909	-1	131.0684		[M-H]1-	131.0684	-1	
5-OxoETE	5-OxoETE{d7}	C20H23H'7O3	[M-H]1-	324.256155692909	-1	71.0137		[M-H]1-	71.0137	-1	
5-OxoETE	5-OxoETE{d7}	C20H23H'7O3	[M-H]1-	324.256155692909	-1	59.0135		[M-H]1-	59.0135	-1	
5-OxoETE	5-OxoETE{d7}	C20H23H'7O3	[M-H]1-	324.256155692909	-1	precursor	C20H23H'7O3	[M-H]1-	324.256155692909	-1	
8(9)-EET	8(9)-EET{d11}	C20H21H'11O3	[M-H]1-	330.296912738909	-1	312.2863		[M-H]1-	312.2863	-1	replicate of 11(12)-EET{d11} [M-H]1- 312,286
8(9)-EET	8(9)-EET{d11}	C20H21H'11O3	[M-H]1-	330.296912738909	-1	286.3069		[M-H]1-	286.3069	-1	replicate of 14(15)-EET{d11} [M-H]1- 286,307
8(9)-EET	8(9)-EET{d11}	C20H21H'11O3	[M-H]1-	330.296912738909	-1	268.2964		[M-H]1-	268.2964	-1	replicate of 11(12)-EET{d11} [M-H]1- 268,296
8(9)-EET	8(9)-EET{d11}	C20H21H'11O3	[M-H]1-	330.296912738909	-1	190.2131		[M-H]1-	190.2131	-1	
8(9)-EET	8(9)-EET{d11}	C20H21H'11O3	[M-H]1-	330.296912738909	-1	167.0712		[M-H]1-	167.0712	-1	
8(9)-EET	8(9)-EET{d11}	C20H21H'11O3	[M-H]1-	330.296912738909	-1	155.0712		[M-H]1-	155.0712	-1	
8(9)-EET	8(9)-EET{d11}	C20H21H'11O3	[M-H]1-	330.296912738909	-1	127.0764		[M-H]1-	127.0764	-1	
8(9)-EET	8(9)-EET{d11}	C20H21H'11O3	[M-H]1-	330.296912738909	-1	123.0815		[M-H]1-	123.0815	-1	
8(9)-EET	8(9)-EET{d11}	C20H21H'11O3	[M-H]1-	330.296912738909	-1	69.0342		[M-H]1-	69.0342	-1	
8(9)-EET	8(9)-EET{d11}	C20H21H'11O3	[M-H]1-	330.296912738909	-1	precursor	C20H21H'11O3	[M-H]1-	330.296912738909	-1	replicate of 11(12)-EET{d11} [M-H]1- precursor
8,9-DHET	8,9-DHET{d11}	C20H23H'11O4	[M-H]1-	348.307477438909	-1	330.2971		[M-H]1-	330.2971	-1	replicate of 11,12-DHET{d11} [M-H]1- 330,297
8,9-DHET	8,9-DHET{d11}	C20H23H'11O4	[M-H]1-	348.307477438909	-1	268.2967		[M-H]1-	268.2967	-1	replicate of 14,15-DHET{d11} [M-H]1- 268,297
8,9-DHET	8,9-DHET{d11}	C20H23H'11O4	[M-H]1-	348.307477438909	-1	220.2239		[M-H]1-	220.2239	-1	
8,9-DHET	8,9-DHET{d11}	C20H23H'11O4	[M-H]1-	348.307477438909	-1	185.0820		[M-H]1-	185.0820	-1	
8,9-DHET	8,9-DHET{d11}	C20H23H'11O4	[M-H]1-	348.307477438909	-1	141.0923		[M-H]1-	141.0923	-1	
